,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
08/10/20,,,,18502.789569546094,2.804960934321655,81506.4054695196
08/11/20,,,,18502.65787622695,2.5941998597410483,81506.74792391331
08/12/20,,,,18502.536310607324,2.3996444317546084,81507.06404496093
08/13/20,,,,18502.423908275123,2.219752492806056,81507.35633923208
08/14/20,,,,18502.319727316066,2.0530179093898653,81507.62725477455
08/15/20,,,,18502.222857593842,1.897985374968918,81507.87915703119
08/16/20,,,,18502.132902564917,1.7540192399544858,81508.11307819514
08/17/20,,,,18502.04960690355,1.620710013168948,81508.32968308328
08/18/20,,,,18501.972570084097,1.4974167807357572,81508.53001313517
08/19/20,,,,18501.901399385562,1.3835111225492125,81508.71508949189
08/20/20,,,,18501.83570989162,1.278377112274459,81508.8859129961
08/21/20,,,,18501.775124490618,1.1814113173474883,81509.04346419203
08/22/20,,,,18501.719273875555,1.092022798975138,81509.18870332548
08/23/20,,,,18501.667796544105,1.0096331121350928,81509.32257034376
08/24/20,,,,18501.620338798595,0.9336763055758825,81509.44598489584
08/25/20,,,,18501.576554746032,0.8635989218168845,81509.55984633215
08/26/20,,,,18501.536106298074,0.7988599971483212,81509.66503370478
08/27/20,,,,18501.49866317105,0.7389310616312617,81509.76240576732
08/28/20,,,,18501.46390288595,0.6832961390976227,81509.85280097496
08/29/20,,,,18501.431569276006,0.6315452887021944,81509.9368854353
08/30/20,,,,18501.401603566726,0.5835842355759077,81510.0148121977
08/31/20,,,,18501.373873955392,0.5392020205426368,81510.08692402407
09/01/20,,,,18501.34824297208,0.4981786307981247,81510.15357839713
09/02/20,,,,18501.32457585371,0.4602983862719341,81510.21512576002
09/03/20,,,,18501.302740544037,0.42534993962744727,81510.27190951633
09/04/20,,,,18501.28260769366,0.3931262762618663,81510.32426603007
09/05/20,,,,18501.264050660007,0.36342471430621265,81510.3725246257
09/06/20,,,,18501.246945507348,0.3360469046253278,81510.41700758802
09/07/20,,,,18501.231171006788,0.3107988308178726,81510.4580301624
09/08/20,,,,18501.216608636267,0.2874908092163279,81510.49590055452
09/09/20,,,,18501.20314258057,0.26593748888699387,81510.53091993055
09/10/20,,,,18501.190659731306,0.24595785162999068,81510.56338241707
09/11/20,,,,18501.179051530897,0.22737816218802204,81510.59357030693
09/12/20,,,,18501.168274251962,0.21012841543047786,81510.62159733262
09/13/20,,,,18501.158295402052,0.19415659407509359,81510.64754800388
09/14/20,,,,18501.14906686362,0.17938568421424073,81510.67154745216
09/15/20,,,,18501.140541457844,0.1657401744569676,81510.69371836771
09/16/20,,,,18501.13267294459,0.15314605592899905,81510.71418099948
09/17/20,,,,18501.12541602246,0.14153082227273683,81510.73305315527
09/18/20,,,,18501.118726328765,0.13082346964725927,81510.7504502016
09/19/20,,,,18501.112560439517,0.12095449672832155,81510.76648506377
09/20/20,,,,18501.106875869456,0.11185590470835545,81510.78126822584
09/21/20,,,,18501.101631072033,0.10346119729646949,81510.79490773067
09/22/20,,,,18501.09678543941,0.09570538071844897,81510.80750917988
09/23/20,,,,18501.09229930246,0.08852496371675583,81510.81917573382
09/24/20,,,,18501.088133930778,0.0818579575505288,81510.83000811168
09/25/20,,,,18501.08425966599,0.07565689232965085,81510.84008344168
09/26/20,,,,18501.080669611463,0.0699107265457211,81510.849419662
09/27/20,,,,18501.07734764482,0.06459365505153325,81510.85805870013
09/28/20,,,,18501.074277250686,0.05967924386840062,81510.86604350545
09/29/20,,,,18501.071442239227,0.05514158005963042,81510.87341618072
09/30/20,,,,18501.06882674613,0.05095527173052365,81510.88021798215
10/01/20,,,,18501.066415232614,0.04709544802837519,81510.88648931937
10/02/20,,,,18501.064192485435,0.043537759142473716,81510.89226975542
10/03/20,,,,18501.06214361687,0.04025837630410172,81510.89759800684
10/04/20,,,,18501.06025406473,0.0372339917865356,81510.9025119435
10/05/20,,,,18501.05850959236,0.03444181890504552,81510.90704858875
10/06/20,,,,18501.056896288625,0.03185959201689552,81510.91124411936
10/07/20,,,,18501.055400567937,0.02946556652134341,81510.91513386555
10/08/20,,,,18501.054009502983,0.027239051450744622,81510.91875144557
10/09/20,,,,18501.05271828245,0.02517234562924033,81510.92210937192
10/10/20,,,,18501.05152279294,0.023258865076380458,81510.92521834199
10/11/20,,,,18501.050417253588,0.021489357064667307,81510.92809338936
10/12/20,,,,18501.04939599642,0.019854749552732226,81510.93074925404
10/13/20,,,,18501.048453466352,0.018346151185335634,81510.93320038247
10/14/20,,,,18501.047584221185,0.016954851293367008,81510.93546092753
10/15/20,,,,18501.046782931608,0.01567231989384488,81510.9375447485
10/16/20,,,,18501.046044381197,0.014490207689916849,81510.93946541112
10/17/20,,,,18501.045363466415,0.01340034607085957,81510.94123618753
10/18/20,,,,18501.044735196614,0.012394747112078762,81510.94287005629
10/19/20,,,,18501.044154694027,0.011465603575109205,81510.9443797024
10/20/20,,,,18501.043617193787,0.010605288907614727,81510.94577751732
10/21/20,,,,18501.0431180439,0.009806357243388231,81510.94707559887
10/22/20,,,,18501.042653826556,0.009063338089832389,81510.94828283536
10/23/20,,,,18501.04222371683,0.008374911046995956,81510.94940137214
10/24/20,,,,18501.041825748616,0.007737929186951295,81510.95043632221
10/25/20,,,,18501.041457937758,0.007149216712230009,81510.95139284554
10/26/20,,,,18501.04111833925,0.006605660483350437,81510.95227600029
10/27/20,,,,18501.040805047243,0.006104210018817644,81510.95309074275
10/28/20,,,,18501.040516195026,0.005641877495123429,81510.95384192749
10/29/20,,,,18501.040249955036,0.005215737746746318,81510.95453430724
10/30/20,,,,18501.040004538856,0.004822928266151569,81510.9551725329
10/31/20,,,,18501.03977819722,0.004460649203791171,81510.9557611536
11/01/20,,,,18501.039569220004,0.00412616336810384,81510.95630461664
11/02/20,,,,18501.039375936234,0.003816796225515025,81510.95680726756
11/03/20,,,,18501.039196714082,0.0035299359004369053,81510.95727335004
11/04/20,,,,18501.039030017142,0.003263123248066684,81510.95770685963
11/05/20,,,,18501.038875316724,0.003015512047305633,81510.95810917125
11/06/20,,,,18501.03873209436,0.002786272449934106,81510.9584816332
11/07/20,,,,18501.038599655534,0.002574292822124467,81510.95882605166
11/08/20,,,,18501.038477319307,0.0023784832584566023,81510.95914419745
11/09/20,,,,18501.03836441831,0.0021977755819179213,81510.95943780613
11/10/20,,,,18501.03826029875,0.0020311233439033556,81510.95970857792
11/11/20,,,,18501.03816432041,0.0018775018242153585,81510.95995817779
11/12/20,,,,18501.03807585665,0.0017359080310639075,81510.96018823533
11/13/20,,,,18501.03799429441,0.0016053607010665018,81510.9604003449
11/14/20,,,,18501.037919034192,0.0014849002992481626,81510.96059606552
11/15/20,,,,18501.037849490087,0.0013735890190414357,81510.96077692091
11/16/20,,,,18501.03778508975,0.0012705107822863861,81510.96094439949
11/17/20,,,,18501.03772527442,0.001174771239230606,81510.96109995435
11/18/20,,,,18501.037669652327,0.001085743334165977,81510.96124460436
11/19/20,,,,18501.03761812275,0.0010032658469190632,81510.96137861142
11/20/20,,,,18501.037570446653,0.0009269561846822978,81510.96150259717
11/21/20,,,,18501.037526385666,0.0008564328077113818,81510.96161718154
11/22/20,,,,18501.037485706114,0.000791321711193434,81510.96172297219
11/23/20,,,,18501.03744817904,0.0007312564252469912,81510.96182056455
11/24/20,,,,18501.037413580194,0.0006758780149220073,81510.96191054181
11/25/20,,,,18501.03738169003,0.0006248350801998551,81510.9619934749
11/26/20,,,,18501.037352293704,0.0005777837559933239,81510.96206992255
11/27/20,,,,18501.0373251811,0.0005343877121466218,81510.9621404312
11/28/20,,,,18501.037300146785,0.000494318153435374,81510.96220553508
11/29/20,,,,18501.03727699005,0.00045725381956662325,81510.96226575614
11/30/20,,,,18501.037255514886,0.00042288098517883124,81510.96232160415
12/01/20,,,,18501.037235538526,0.0003909071195836624,81510.96237355437
12/02/20,,,,18501.03721699795,0.00036123134197678787,81510.96242177073
12/03/20,,,,18501.037199829156,0.0003337512171109287,81510.96246641965
12/04/20,,,,18501.03718395124,0.00030833725708529424,81510.96250771152
12/05/20,,,,18501.037169284566,0.0002848619909791584,81510.96254585346
12/06/20,,,,18501.03715575075,0.00026319996485186,81510.9625810493
12/07/20,,,,18501.037143272675,0.0002432277417428024,81510.9626134996
12/08/20,,,,18501.037131774483,0.0002248239016714537,81510.96264340164
12/09/20,,,,18501.037121181573,0.00020786904163734677,81510.9626709494
12/10/20,,,,18501.037111420603,0.0001922457756200792,81510.96269633365
12/11/20,,,,18501.037102419497,0.0001778387345793133,81510.96271974179
12/12/20,,,,18501.037094107432,0.00016453456645477591,81510.96274135802
12/13/20,,,,18501.037086414854,0.0001522219361662589,81510.96276136323
12/14/20,,,,18501.03707927346,0.00014079152561361868,81510.96277993503
12/15/20,,,,18501.037072620256,0.00013014250177461942,81510.96279723727
12/16/20,,,,18501.037066435318,0.00012024298130870945,81510.96281332173
